video_id,mp4_video_link,title
serbia_2012_119_18072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071811a.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 18.07.2013. први део
serbia_2012_120_18072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071810.mp4,Пета посебна седница Народне скупштине Републике Србије у 2013. години 18.07.2013.
serbia_2012_121_17072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071710b.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 17.07.2013. други део
serbia_2012_122_17072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071710a.mp4,наставак Деветог ванредног заседања Народне скупштине Републике Србије у 2013. години 17.07.2013. први део
serbia_2012_123_16072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071612b.mp4,Девето ванредно заседање Народне скупштине Републике Србије у 2013. години 16.07.2013. други део
serbia_2012_124_16072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071612a.mp4,Девето ванредно заседање Народне скупштине Републике Србије у 2013. години 16.07.2013. први део
serbia_2012_125_16072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071610.mp4,Дан за гласање о тачкама дневног реда Осмог ванредног заседања Народне скупштине Републике Србије у 2013. години 16.07.2013.
serbia_2012_126_15072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071511a.mp4,наставак Осмог ванредног заседања Народне скупштине Републике Србије у 2013. години 15.07.2013. други део
serbia_2012_127_15072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071511.mp4,наставак Осмог ванредног заседања Народне скупштине Републике Србије у 2013. години 15.07.2013. први део
serbia_2012_128_11072013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013071112.mp4,Четврта посебна седница Народне скупштине Републике Србије у 2013. години 11.07.2013.
serbia_2012_129_10072013,http://217.26.67.44/filesnsrs2/zasedanja/zas20130710a.mp4,наставак Осмог ванредног заседања Народне скупштине Републике Србије у 2013. години 10.07.2013. други део
serbia_2012_130_10072013,http://217.26.67.44/filesnsrs2/zasedanja/zas20130710.mp4,наставак Осмог ванредног заседања Народне скупштине Републике Србије у 2013. години 10.07.2013. први део
serbia_2014_0_03032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030313.mp4,Дан за гласање о свим тачкама дневног реда Прве седнице Првог редовног заседања Народне скупштине Републике Србије у 2016. години 03.03.2016.
serbia_2014_1_02032016,http://217.26.67.44/filesnsrs/zasedanja/zas2016030219a.mp4,наставак Прве седнице Првог редовног заседања Народне скупштине Републике Србије у 2016. години 02.03.2016.
