transcript_id,processed_transcript_text_link,transcript_title,date,,video_id,mp4_video_link,video_title,merged_id
serbia_2016_59_02122019,https://otvoreniparlament.rs/transkript/7737,Sedma sednica Drugog redovnog zasedanja,02122019,,serbia_2016_223_02122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120210c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 02.12.2019.,serbia_2016_59_02122019_serbia_2016_223_02122019
serbia_2016_59_02122019,https://otvoreniparlament.rs/transkript/7737,Sedma sednica Drugog redovnog zasedanja,02122019,,serbia_2016_224_02122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120210b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 02.12.2019.,serbia_2016_59_02122019_serbia_2016_224_02122019
serbia_2016_59_02122019,https://otvoreniparlament.rs/transkript/7737,Sedma sednica Drugog redovnog zasedanja,02122019,,serbia_2016_225_02122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120210a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 02.12.2019.,serbia_2016_59_02122019_serbia_2016_225_02122019
serbia_2016_59_02122019,https://otvoreniparlament.rs/transkript/7737,Sedma sednica Drugog redovnog zasedanja,02122019,,serbia_2016_226_02122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120210.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 02.12.2019.,serbia_2016_59_02122019_serbia_2016_226_02122019
serbia_2016_60_29112019,https://otvoreniparlament.rs/transkript/7736,Sedma sednica Drugog redovnog zasedanja,29112019,,serbia_2016_227_29112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112910c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 29.11.2019.,serbia_2016_60_29112019_serbia_2016_227_29112019
serbia_2016_60_29112019,https://otvoreniparlament.rs/transkript/7736,Sedma sednica Drugog redovnog zasedanja,29112019,,serbia_2016_228_29112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112910b.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 29.11.2019.,serbia_2016_60_29112019_serbia_2016_228_29112019
serbia_2016_60_29112019,https://otvoreniparlament.rs/transkript/7736,Sedma sednica Drugog redovnog zasedanja,29112019,,serbia_2016_229_29112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112910a.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 29.11.2019.,serbia_2016_60_29112019_serbia_2016_229_29112019
serbia_2016_60_29112019,https://otvoreniparlament.rs/transkript/7736,Sedma sednica Drugog redovnog zasedanja,29112019,,serbia_2016_230_29112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112910.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 29.11.2019.,serbia_2016_60_29112019_serbia_2016_230_29112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_231_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112816b.mp4,институт посланичких питања последњег четвртка у месецу 28.11.2019.,serbia_2016_61_28112019_serbia_2016_231_28112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_232_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112816a.mp4,институт посланичких питања последњег четвртка у месецу 28.11.2019.,serbia_2016_61_28112019_serbia_2016_232_28112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_233_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112816.mp4,институт посланичких питања последњег четвртка у месецу 28.11.2019.,serbia_2016_61_28112019_serbia_2016_233_28112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_234_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112810a.mp4,Седма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 28.11.2019.,serbia_2016_61_28112019_serbia_2016_234_28112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_235_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112810.mp4,Седма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 28.11.2019.,serbia_2016_61_28112019_serbia_2016_235_28112019
serbia_2016_61_28112019,https://otvoreniparlament.rs/transkript/7735,Šesta sednica Drugog redovnog zasedanja,28112019,,serbia_2016_236_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112809.mp4,Дан за гласање о јединој тачки дневног реда Шесте седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 28.11.2019.,serbia_2016_61_28112019_serbia_2016_236_28112019
serbia_2016_62_28112019,https://otvoreniparlament.rs/transkript/7734,Sedma sednica Drugog redovnog zasedanja,28112019,,serbia_2016_231_28112019,http://217.26.67.44/filesnsrs/zasedanja/zas2019112816b.mp4,институт посланичких питања последњег четвртка у месецу 28.11.2019.,serbia_2016_62_28112019_serbia_2016_231_28112019
