transcript_link,date,youtube_link
/et/202209151000,2022-09-15 10:00:00,https://www.youtube.com/watch?v=l9vLTft2AvQ
/et/202209191500,2022-09-19 15:00:00,https://www.youtube.com/watch?v=0-BkiMgGU9w
/et/202209201000,2022-09-20 10:00:00,https://www.youtube.com/watch?v=dfzjR0lbLNU
/et/202209211200,2022-09-21 12:00:00,https://www.youtube.com/watch?v=9KMD1XbjS0Y
/et/202209211400,2022-09-21 14:00:00,https://www.youtube.com/watch?v=FDwwCnLvD1w
/et/202209221000,2022-09-22 10:00:00,https://www.youtube.com/watch?v=EnG5flBzFVQ
/et/202209261500,2022-09-26 15:00:00,https://www.youtube.com/watch?v=kEKLPJqLD3U
/et/202209271000,2022-09-27 10:00:00,https://www.youtube.com/watch?v=4zdDZpC4F4w
/et/202209281200,2022-09-28 12:00:00,https://www.youtube.com/watch?v=XPn4Kfov_wU
/et/202209281400,2022-09-28 14:00:00,https://www.youtube.com/watch?v=fiH9djENbaE
/et/202209291000,2022-09-29 10:00:00,https://www.youtube.com/watch?v=F9JO7QEYCAY
/et/202210101500,2022-10-10 15:00:00,https://www.youtube.com/watch?v=JD1x3hCvLGw
/et/202210111000,2022-10-11 10:00:00,https://www.youtube.com/watch?v=PGZmsa6tMx0
/et/202210121200,2022-10-12 12:00:00,https://www.youtube.com/watch?v=5jsyXZZcDDE
/et/202210121400,2022-10-12 14:00:00,https://www.youtube.com/watch?v=K5NiiAGueak
/et/202210131000,2022-10-13 10:00:00,https://www.youtube.com/watch?v=mwKQi2yZHM0
/et/202210171500,2022-10-17 15:00:00,https://www.youtube.com/watch?v=rWHqjdxLVlw
/et/202210181000,2022-10-18 10:00:00,https://www.youtube.com/watch?v=V0wUSiwX4KI
/et/202210191200,2022-10-19 12:00:00,https://www.youtube.com/watch?v=g42eZnwbfzs
/et/202210191400,2022-10-19 14:00:00,https://www.youtube.com/watch?v=sKrjvnx3L8w
/et/202210201000,2022-10-20 10:00:00,https://www.youtube.com/watch?v=3p6c-ev5J9g
/et/202210241500,2022-10-24 15:00:00,https://www.youtube.com/watch?v=hbnJPrFsivI
/et/202210251000,2022-10-25 10:00:00,https://www.youtube.com/watch?v=1muK1MrZwx4
/et/202210261200,2022-10-26 12:00:00,https://www.youtube.com/watch?v=fsS30ex-ufQ
/et/202210261400,2022-10-26 14:00:00,https://www.youtube.com/watch?v=v3yMQrm_adU
/et/202210271000,2022-10-27 10:00:00,https://www.youtube.com/watch?v=3dmfcdk00UQ
/et/202211071500,2022-11-07 15:00:00,https://www.youtube.com/watch?v=LUQ4TMOFZdA
/et/202211081000,2022-11-08 10:00:00,https://www.youtube.com/watch?v=JllclLnV80o
/et/202211091200,2022-11-09 12:00:00,https://www.youtube.com/watch?v=7BNYx2tTZpI
/et/202211091400,2022-11-09 14:00:00,https://www.youtube.com/watch?v=I4psYiA-Mig
/et/202211101000,2022-11-10 10:00:00,https://www.youtube.com/watch?v=fquavXaCL3M
/et/202211141500,2022-11-14 15:00:00,https://www.youtube.com/watch?v=WMyNRmTlogE
/et/202211151000,2022-11-15 10:00:00,https://www.youtube.com/watch?v=IG1H20MAxhM
/et/202211161200,2022-11-16 12:00:00,https://www.youtube.com/watch?v=W_HgldWxsng
/et/202211161400,2022-11-16 14:00:00,https://www.youtube.com/watch?v=DWNv2adnx5E
/et/202211171000,2022-11-17 10:00:00,https://www.youtube.com/watch?v=mzykaSRQE4k
/et/202211211500,2022-11-21 15:00:00,https://www.youtube.com/watch?v=ZFNHffh8NJk
/et/202211221000,2022-11-22 10:00:00,https://www.youtube.com/watch?v=5HFnZ3qnVAg
/et/202211231200,2022-11-23 12:00:00,https://www.youtube.com/watch?v=QRVs6-b9HqQ
/et/202211231400,2022-11-23 14:00:00,https://www.youtube.com/watch?v=Ad2cqQLcYz8
/et/202211241000,2022-11-24 10:00:00,https://www.youtube.com/watch?v=1ed0SMEUmns
/et/202212051500,2022-12-05 15:00:00,https://www.youtube.com/watch?v=DOyGWiYJG-k
/et/202212061000,2022-12-06 10:00:00,https://www.youtube.com/watch?v=7iLtg6InT_s
/et/202212071200,2022-12-07 12:00:00,https://www.youtube.com/watch?v=bWYTOxmHYtE
/et/202212071400,2022-12-07 14:00:00,https://www.youtube.com/watch?v=fNDZJle3Xx4
/et/202212081000,2022-12-08 10:00:00,https://www.youtube.com/watch?v=ghdH1hdONcQ
/et/202212121500,2022-12-12 15:00:00,https://www.youtube.com/watch?v=V5KCxXLAVyc
/et/202212131000,2022-12-13 10:00:00,https://www.youtube.com/watch?v=oukCMmyzSvk
/et/202212141200,2022-12-14 12:00:00,https://www.youtube.com/watch?v=RhisS3-8ogw
/et/202212141400,2022-12-14 14:00:00,https://www.youtube.com/watch?v=xker_lBOjl8
/et/202212151000,2022-12-15 10:00:00,https://www.youtube.com/watch?v=Wxpvs5IFpn4
/et/202212280900,2022-12-28 09:00:00,https://www.youtube.com/watch?v=s7EysRyCEKM
